Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(N),Power(W)
0.000,6500,900,0,497,385,256,0.058,11.71,304.00,0.68
0.002,6501,900,0,499,386,254,0.073,11.71,302.00,0.85
0.004,6502,900,0,500,385,256,0.102,11.73,303.00,1.20
0.006,6503,900,0,500,386,255,0.102,11.72,303.00,1.20
0.008,6504,900,0,500,387,256,0.087,11.72,303.00,1.02
0.010,6505,900,0,499,385,257,0.087,11.70,302.00,1.02
0.012,6506,900,0,498,384,256,0.043,11.70,302.00,0.50
0.014,6507,900,0,500,386,255,0.058,11.70,300.00,0.68
0.016,6508,900,0,498,385,255,0.058,11.69,302.00,0.68
0.018,6509,900,0,499,384,255,0.073,11.71,303.00,0.85
0.020,6510,900,0,500,386,256,0.117,11.72,303.00,1.37
0.022,6511,900,0,501,386,256,0.073,11.70,302.00,0.85
0.024,6512,900,0,498,384,254,0.073,11.71,301.00,0.85
0.026,6513,900,0,500,387,255,0.102,11.72,300.00,1.20
0.028,6514,900,0,500,385,256,0.087,11.72,303.00,1.02
0.030,6515,900,0,500,386,256,0.087,11.71,303.00,1.02
0.032,6516,900,0,499,385,257,0.087,11.70,305.00,1.02
0.034,6517,900,0,500,385,257,0.117,11.72,305.00,1.37
0.036,6518,900,0,499,384,256,0.117,11.73,304.00,1.37
0.038,6519,900,0,498,386,256,0.087,11.71,304.00,1.02
0.040,6520,900,0,501,386,257,0.087,11.71,302.00,1.02
0.042,6521,900,0,500,387,257,0.087,11.70,300.00,1.02
0.044,6522,900,0,499,385,257,0.087,11.71,304.00,1.02
0.046,6523,900,0,500,385,256,0.073,11.70,303.00,0.85
0.048,6524,900,0,499,384,256,0.073,11.70,304.00,0.85
0.050,6525,900,0,500,385,256,0.058,11.70,302.00,0.68
0.052,6526,900,0,499,384,255,0.058,11.70,301.00,0.68
0.054,6527,900,0,501,384,256,0.073,11.70,300.00,0.85
0.056,6528,900,0,499,385,254,0.087,11.71,302.00,1.02
0.058,6529,900,0,501,387,255,0.102,11.72,301.00,1.20
0.060,6530,900,0,498,385,256,0.058,11.70,300.00,0.68
0.062,6531,900,0,498,385,254,0.073,11.70,302.00,0.85
0.064,6532,900,0,502,387,255,0.073,11.72,302.00,0.86
0.066,6533,900,0,499,386,257,0.073,11.72,304.00,0.86
0.068,6534,900,0,499,385,255,0.073,11.70,302.00,0.85
0.070,6535,900,0,499,385,257,0.073,11.70,304.00,0.85
0.072,6536,900,0,501,387,255,0.117,11.73,301.00,1.37
0.074,6537,900,0,499,386,256,0.102,11.73,301.00,1.20
0.076,6538,900,0,499,386,257,0.087,11.72,302.00,1.02
0.078,6539,900,0,500,384,256,0.043,11.70,301.00,0.50
0.080,6540,900,0,497,386,254,0.087,11.70,303.00,1.02
0.082,6541,900,0,500,386,256,0.087,11.72,304.00,1.02
0.084,6542,900,0,500,386,256,0.102,11.71,304.00,1.19
0.086,6543,1500,0,500,385,255,0.073,11.71,303.00,0.85
0.088,6544,1500,1,500,386,257,0.087,11.71,301.00,1.02
0.090,6545,1500,1,500,386,257,0.058,11.70,301.00,0.68
0.092,6546,1500,1,499,385,256,0.087,11.72,301.00,1.02
0.094,6547,1500,1,500,386,255,0.102,11.72,302.00,1.20
0.096,6548,1500,1,499,384,254,0.073,11.70,302.00,0.85
0.098,6549,1500,1,501,386,256,0.087,11.73,302.00,1.02
0.100,6550,1500,1,499,386,257,0.087,11.71,304.00,1.02
0.102,6551,1500,1,499,385,255,0.073,11.71,305.00,0.85
0.104,6552,1500,1,500,385,256,0.117,11.73,303.00,1.37
0.106,6553,1500,1,501,387,257,0.102,11.71,303.00,1.19
0.108,6554,1500,1,499,384,255,0.058,11.70,301.00,0.68
0.110,6555,1500,1,500,386,254,0.117,11.73,301.00,1.37
0.112,6556,1500,1,498,384,257,0.073,11.71,304.00,0.85
0.114,6557,1500,1,499,384,254,0.087,11.72,302.00,1.02
0.116,6558,1500,1,501,386,257,0.102,11.74,304.00,1.20
0.118,6559,1500,1,499,385,256,0.073,11.70,303.00,0.85
0.120,6560,1500,1,499,384,253,0.087,11.71,301.00,1.02
0.122,6561,1500,1,500,387,256,0.102,11.72,301.00,1.20
0.124,6562,1500,1,498,384,257,0.073,11.70,304.00,0.85
0.126,6563,1500,1,499,386,256,0.073,11.70,300.00,0.85
0.128,6564,1500,1,499,385,254,0.087,11.72,302.00,1.02
0.130,6565,1500,1,499,387,257,0.087,11.72,303.00,1.02
0.132,6566,1500,1,499,385,255,0.087,11.72,302.00,1.02
0.134,6567,1500,1,500,386,255,0.087,11.72,304.00,1.02
0.136,6568,1500,1,500,384,256,0.058,11.71,302.00,0.68
0.138,6569,1500,1,501,385,254,0.087,11.71,303.00,1.02
0.140,6570,1500,1,500,385,257,0.087,11.73,304.00,1.02
0.142,6571,1500,1,499,385,256,0.087,11.71,302.00,1.02
0.144,6572,1500,1,498,384,255,0.058,11.69,301.00,0.68
0.146,6573,1500,1,499,385,255,0.102,11.72,302.00,1.20
0.148,6574,1500,1,500,387,257,0.073,11.71,303.00,0.85
0.150,6575,1500,1,498,384,254,0.073,11.71,302.00,0.85
0.152,6576,1500,1,500,386,256,0.087,11.71,304.00,1.02
0.154,6577,1500,1,500,386,256,0.073,11.69,301.00,0.85
0.156,6578,1500,1,497,384,254,0.073,11.72,302.00,0.86
0.158,6579,1500,1,500,386,255,0.087,11.72,302.00,1.02
0.160,6580,1500,1,501,385,255,0.073,11.70,302.00,0.85
0.162,6581,1500,1,499,385,257,0.073,11.71,304.00,0.85
0.164,6582,1500,1,499,386,256,0.117,11.73,303.00,1.37
0.166,6583,1500,1,499,385,257,0.102,11.71,303.00,1.19
0.168,6584,1500,1,498,384,254,0.073,11.71,302.00,0.85
0.170,6585,1500,1,500,386,257,0.102,11.72,304.00,1.20
0.172,6586,1500,1,500,385,256,0.058,11.70,299.00,0.68
0.174,6587,1500,2,499,385,255,0.087,11.70,301.00,1.02
0.176,6588,1500,2,499,385,255,0.087,11.72,302.00,1.02
0.178,6589,1500,2,500,385,258,0.087,11.71,304.00,1.02
0.180,6590,1500,2,499,385,256,0.102,11.70,304.00,1.19
0.182,6591,1500,2,498,384,256,0.102,11.72,303.00,1.20
0.184,6592,1500,2,499,385,257,0.102,11.71,304.00,1.19
0.186,6593,1200,2,499,386,255,0.087,11.71,302.00,1.02
0.188,6594,1200,2,499,385,257,0.087,11.71,304.00,1.02
0.190,6595,1200,2,500,385,255,0.073,11.70,300.00,0.85
0.192,6596,1200,2,499,385,254,0.073,11.70,300.00,0.85
0.194,6597,1200,2,500,386,256,0.102,11.74,302.00,1.20
0.196,6598,1200,2,499,386,257,0.087,11.72,304.00,1.02
0.198,6599,1200,2,498,384,257,0.058,11.71,304.00,0.68
0.200,6600,1200,2,500,386,256,0.102,11.70,304.00,1.19
0.202,6601,1200,2,501,385,256,0.073,11.70,302.00,0.85
0.204,6602,1200,2,501,385,256,0.058,11.70,300.00,0.68
0.206,6603,1200,2,499,385,255,0.073,11.70,301.00,0.85
0.208,6604,1200,2,499,386,256,0.102,11.73,302.00,1.20
0.210,6605,1200,2,499,385,256,0.087,11.72,303.00,1.02
0.212,6606,1200,2,498,383,256,0.058,11.70,302.00,0.68
0.214,6607,1200,2,498,385,255,0.058,11.70,302.00,0.68
0.216,6608,1200,2,499,386,256,0.087,11.72,305.00,1.02
0.218,6609,1200,2,500,385,257,0.087,11.70,304.00,1.02
0.220,6610,1200,2,499,384,257,0.058,11.70,304.00,0.68
0.222,6611,1200,2,499,385,256,0.073,11.70,301.00,0.85
0.224,6612,1200,2,500,384,256,0.073,11.70,300.00,0.85
0.226,6613,1200,2,501,384,255,0.073,11.70,299.00,0.85
0.228,6614,1200,2,499,384,254,0.087,11.72,302.00,1.02
0.230,6615,1200,2,501,387,255,0.087,11.73,303.00,1.02
0.232,6616,1200,2,498,384,256,0.058,11.70,302.00,0.68
0.234,6617,1200,2,498,386,253,0.073,11.70,302.00,0.85
0.236,6618,1200,2,500,386,256,0.102,11.74,303.00,1.20
0.238,6619,1200,2,499,386,257,0.087,11.71,302.00,1.02
0.240,6620,1200,2,500,384,256,0.058,11.70,301.00,0.68
0.242,6621,1200,2,500,386,256,0.073,11.70,299.00,0.85
0.244,6622,1200,2,498,383,256,0.043,11.69,302.00,0.50
0.246,6623,1200,2,500,386,255,0.102,11.73,302.00,1.20
0.248,6624,1200,2,499,386,256,0.131,11.71,304.00,1.53
0.250,6625,1200,2,500,385,256,0.058,11.70,303.00,0.68
0.252,6626,1200,2,499,385,254,0.087,11.73,302.00,1.02
0.254,6627,1200,2,502,386,256,0.087,11.72,304.00,1.02
0.256,6628,1200,2,499,386,257,0.073,11.71,303.00,0.85
0.258,6629,1200,2,499,385,256,0.087,11.70,302.00,1.02
0.260,6630,1200,3,499,385,257,0.073,11.70,304.00,0.85
0.262,6631,1200,3,499,386,255,0.102,11.72,303.00,1.20
0.264,6632,1200,3,500,386,257,0.087,11.72,304.00,1.02
0.266,6633,1200,3,500,386,257,0.102,11.71,304.00,1.19
0.268,6634,1200,3,500,386,256,0.058,11.70,303.00,0.68
0.270,6635,1200,3,498,385,255,0.073,11.71,302.00,0.85
0.272,6636,1200,3,500,386,256,0.087,11.73,304.00,1.02
0.274,6637,1200,3,499,385,257,0.087,11.70,302.00,1.02
0.276,6638,1200,3,498,383,257,0.058,11.70,302.00,0.68
0.278,6639,1200,3,499,384,256,0.058,11.70,301.00,0.68
0.280,6640,1200,3,499,384,256,0.073,11.69,302.00,0.85
0.282,6641,1200,3,499,384,256,0.073,11.70,302.00,0.85
0.284,6642,1200,3,501,386,255,0.102,11.73,304.00,1.20
0.286,6643,1200,3,499,384,256,0.073,11.70,305.00,0.85
0.288,6644,1200,3,498,384,255,0.073,11.70,302.00,0.85
0.290,6645,1200,3,499,385,255,0.102,11.73,303.00,1.20
0.292,6646,1200,3,500,386,256,0.102,11.71,302.00,1.19
0.294,6647,1200,3,499,384,257,0.073,11.70,305.00,0.85
0.296,6648,1200,3,499,386,255,0.102,11.72,303.00,1.20
0.298,6649,1200,3,500,385,257,0.102,11.71,304.00,1.19
0.300,6650,1200,3,499,384,255,0.102,11.72,304.00,1.20
0.302,6651,1200,3,499,385,258,0.102,11.71,305.00,1.19
0.304,6652,1200,3,498,384,255,0.073,11.71,302.00,0.85
0.306,6653,1200,3,500,386,255,0.102,11.73,303.00,1.20
0.308,6654,1200,3,498,384,256,0.058,11.70,301.00,0.68
0.310,6655,1200,3,499,386,255,0.087,11.71,301.00,1.02
0.312,6656,1200,3,499,386,256,0.117,11.73,304.00,1.37
0.314,6657,1200,3,500,386,256,0.102,11.72,303.00,1.20
0.316,6658,1200,3,501,386,256,0.087,11.72,304.00,1.02
0.318,6659,1200,3,499,384,256,0.073,11.70,302.00,0.85
0.320,6660,1200,3,499,386,255,0.102,11.72,303.00,1.20
0.322,6661,1200,3,499,385,257,0.087,11.71,303.00,1.02
0.324,6662,1200,3,498,384,255,0.073,11.71,303.00,0.85
0.326,6663,1200,3,500,387,255,0.102,11.73,302.00,1.20
0.328,6664,1200,3,499,386,258,0.087,11.72,304.00,1.02
0.330,6665,1200,3,500,386,256,0.073,11.70,304.00,0.85
0.332,6666,1200,3,500,386,254,0.117,11.73,303.00,1.37
0.334,6667,1200,3,500,386,257,0.073,11.70,305.00,0.85
0.336,6668,1200,3,500,385,256,0.058,11.70,301.00,0.68
0.338,6669,1200,3,499,386,256,0.102,11.72,304.00,1.20
0.340,6670,1200,3,499,386,257,0.087,11.71,302.00,1.02
0.342,6671,1200,3,499,384,255,0.073,11.72,301.00,0.86
0.344,6672,1200,3,500,386,257,0.087,11.72,304.00,1.02
0.346,6673,1200,4,499,385,256,0.087,11.71,304.00,1.02
0.348,6674,1200,4,500,385,254,0.087,11.71,302.00,1.02
0.350,6675,1200,4,500,386,255,0.117,11.73,303.00,1.37
0.352,6676,1200,4,500,386,255,0.102,11.73,302.00,1.20
0.354,6677,1200,4,500,386,256,0.102,11.71,302.00,1.19
0.356,6678,1200,4,499,384,256,0.073,11.70,302.00,0.85
0.358,6679,1200,4,500,386,255,0.102,11.72,302.00,1.20
0.360,6680,1200,4,499,385,257,0.073,11.70,302.00,0.85
0.362,6681,1200,4,497,383,254,0.087,11.70,301.00,1.02
0.364,6682,1200,4,500,386,255,0.102,11.73,302.00,1.20
0.366,6683,1200,4,500,385,257,0.087,11.71,304.00,1.02
0.368,6684,1200,4,499,385,257,0.087,11.70,304.00,1.02
0.370,6685,1200,4,498,386,256,0.102,11.72,303.00,1.20
0.372,6686,1200,4,499,385,257,0.073,11.71,304.00,0.85
0.374,6687,1200,4,499,385,255,0.087,11.70,300.00,1.02
0.376,6688,1200,4,499,387,255,0.102,11.72,302.00,1.20
0.378,6689,1200,4,499,385,257,0.087,11.70,305.00,1.02
0.380,6690,1200,4,498,384,255,0.073,11.71,303.00,0.85
0.382,6691,1200,4,499,384,256,0.087,11.72,304.00,1.02
0.384,6692,1200,4,498,384,255,0.043,11.70,302.00,0.50
0.386,6693,1200,4,499,384,254,0.058,11.70,302.00,0.68
0.388,6694,1200,4,499,385,257,0.087,11.71,304.00,1.02
0.390,6695,1200,4,500,385,257,0.087,11.70,302.00,1.02
0.392,6696,1200,4,499,384,256,0.043,11.69,301.00,0.50
0.394,6697,1200,4,501,385,256,0.058,11.70,300.00,0.68
0.396,6698,1200,4,500,386,255,0.073,11.70,300.00,0.85
0.398,6699,1200,4,499,386,255,0.087,11.72,304.00,1.02
0.400,6700,1200,4,499,385,257,0.087,11.72,304.00,1.02
0.402,6701,1200,4,499,384,254,0.058,11.69,302.00,0.68
0.404,6702,1200,4,499,384,254,0.087,11.72,302.00,1.02
0.406,6703,1200,4,499,385,257,0.087,11.72,303.00,1.02
0.408,6704,1200,4,499,386,257,0.102,11.71,303.00,1.19
0.410,6705,1200,4,498,385,257,0.102,11.70,302.00,1.19
0.412,6706,1200,4,500,386,255,0.087,11.70,301.00,1.02
0.414,6707,1200,4,499,384,256,0.058,11.70,302.00,0.68
0.416,6708,1200,4,499,384,255,0.043,11.70,302.00,0.50
0.418,6709,1200,4,498,384,255,0.073,11.71,302.00,0.85
0.420,6710,1200,4,501,386,257,0.087,11.72,304.00,1.02
0.422,6711,1200,4,499,385,256,0.058,11.70,302.00,0.68
0.424,6712,1200,4,499,385,255,0.073,11.70,302.00,0.85
0.426,6713,1200,4,500,385,256,0.087,11.72,304.00,1.02
0.428,6714,1200,4,500,385,257,0.073,11.71,303.00,0.85
0.430,6715,1200,4,498,384,256,0.073,11.70,302.00,0.85
0.432,6716,1200,5,498,384,255,0.058,11.71,302.00,0.68
0.434,6717,1200,5,499,384,255,0.073,11.71,303.00,0.85
0.436,6718,1200,5,498,385,256,0.087,11.72,304.00,1.02
0.438,6719,1200,5,500,384,256,0.087,11.71,304.00,1.02
0.440,6720,1200,5,499,384,256,0.043,11.70,302.00,0.50
0.442,6721,1200,5,499,384,254,0.073,11.71,301.00,0.85
0.444,6722,1200,5,501,387,256,0.102,11.73,304.00,1.20
0.446,6723,1200,5,498,385,257,0.073,11.70,304.00,0.85
0.448,6724,1200,5,499,385,257,0.087,11.71,304.00,1.02
0.450,6725,1200,5,498,384,256,0.043,11.70,302.00,0.50
0.452,6726,1200,5,499,385,256,0.073,11.70,303.00,0.85
0.454,6727,1200,5,499,384,256,0.058,11.70,302.00,0.68
0.456,6728,1200,5,498,384,256,0.087,11.70,303.00,1.02
0.458,6729,1200,5,499,386,256,0.087,11.71,303.00,1.02
0.460,6730,1200,5,501,386,256,0.073,11.70,301.00,0.85
0.462,6731,1200,5,498,384,255,0.087,11.72,303.00,1.02
0.464,6732,1200,5,501,387,255,0.102,11.72,302.00,1.20
0.466,6733,1200,5,499,387,257,0.073,11.71,305.00,0.85
0.468,6734,1200,5,499,384,256,0.058,11.70,303.00,0.68
0.470,6735,1200,5,498,385,255,0.087,11.70,302.00,1.02
0.472,6736,1200,5,499,385,256,0.058,11.69,302.00,0.68
0.474,6737,1200,5,498,384,256,0.102,11.72,303.00,1.20
0.476,6738,1200,5,500,386,257,0.102,11.72,302.00,1.20
0.478,6739,1200,5,498,384,256,0.058,11.70,302.00,0.68
0.480,6740,1200,5,499,386,254,0.073,11.70,302.00,0.85
0.482,6741,1200,5,501,386,256,0.087,11.73,304.00,1.02
0.484,6742,1200,5,500,385,257,0.102,11.72,305.00,1.20
0.486,6743,1200,5,500,385,256,0.087,11.70,304.00,1.02
0.488,6744,1200,5,499,385,257,0.073,11.70,304.00,0.85
0.490,6745,1200,5,498,384,256,0.073,11.70,302.00,0.85
0.492,6746,1200,5,498,386,255,0.117,11.72,301.00,1.37
0.494,6747,1200,5,499,386,256,0.073,11.71,304.00,0.85
0.496,6748,1200,5,500,386,255,0.058,11.70,302.00,0.68
0.498,6749,1200,5,499,384,254,0.073,11.71,302.00,0.85
0.500,6750,1200,5,501,386,256,0.087,11.73,304.00,1.02
0.502,6751,1200,5,500,387,257,0.087,11.72,305.00,1.02
0.504,6752,1200,5,498,384,257,0.058,11.70,305.00,0.68
0.506,6753,1200,5,499,386,256,0.102,11.72,302.00,1.20
0.508,6754,1200,5,500,385,258,0.102,11.72,304.00,1.20
0.510,6755,1200,5,497,384,257,0.102,11.71,303.00,1.19
0.512,6756,1200,5,500,385,258,0.073,11.71,304.00,0.85
0.514,6757,1200,5,497,384,256,0.073,11.70,302.00,0.85
0.516,6758,1200,5,501,387,256,0.087,11.72,302.00,1.02
0.518,6759,1200,6,499,385,257,0.102,11.72,304.00,1.20
0.520,6760,1200,6,498,384,257,0.058,11.70,305.00,0.68
0.522,6761,1200,6,498,386,255,0.087,11.72,302.00,1.02
0.524,6762,1200,6,499,386,258,0.102,11.71,304.00,1.19
0.526,6763,1200,6,498,385,256,0.043,11.69,302.00,0.50
0.528,6764,1200,6,500,386,256,0.117,11.72,302.00,1.37
0.530,6765,1200,6,499,384,256,0.087,11.72,304.00,1.02
0.532,6766,1200,6,498,384,254,0.073,11.71,303.00,0.85
0.534,6767,1200,6,499,385,256,0.087,11.72,304.00,1.02
0.536,6768,1200,6,498,384,256,0.058,11.70,303.00,0.68
0.538,6769,1200,6,496,383,255,0.073,11.71,301.00,0.85
0.540,6770,1200,6,500,386,256,0.117,11.73,303.00,1.37
0.542,6771,1200,6,500,386,256,0.087,11.71,303.00,1.02
0.544,6772,1200,6,500,387,257,0.117,11.72,302.00,1.37
0.546,6773,1200,6,499,384,255,0.073,11.70,301.00,0.85
0.548,6774,1200,6,499,384,256,0.102,11.72,302.00,1.20
0.550,6775,1200,6,500,386,256,0.087,11.70,304.00,1.02
0.552,6776,1200,6,498,384,255,0.073,11.70,302.00,0.85
0.554,6777,1200,6,500,386,257,0.087,11.72,303.00,1.02
0.556,6778,1200,6,500,385,258,0.087,11.70,304.00,1.02
0.558,6779,1200,6,499,385,257,0.058,11.70,305.00,0.68
0.560,6780,1200,6,499,385,257,0.102,11.72,302.00,1.20
0.562,6781,1200,6,500,385,256,0.102,11.71,304.00,1.19
0.564,6782,1200,6,499,384,256,0.058,11.70,303.00,0.68
0.566,6783,1200,6,500,385,257,0.117,11.72,304.00,1.37
0.568,6784,1200,6,498,384,258,0.073,11.70,306.00,0.85
0.570,6785,1200,6,497,384,253,0.087,11.71,301.00,1.02
0.572,6786,1200,6,500,387,255,0.102,11.72,303.00,1.20
0.574,6787,1200,6,499,385,256,0.058,11.70,302.00,0.68
0.576,6788,1200,6,499,384,254,0.073,11.70,301.00,0.85
0.578,6789,1200,6,498,385,257,0.102,11.72,304.00,1.20
0.580,6790,1200,6,501,387,255,0.087,11.73,303.00,1.02
0.582,6791,1200,6,499,385,257,0.087,11.71,304.00,1.02
0.584,6792,1200,6,498,384,256,0.058,11.70,303.00,0.68
0.586,6793,600,6,498,385,256,0.073,11.71,304.00,0.85
0.588,6794,600,6,500,386,255,0.102,11.71,303.00,1.19
0.590,6795,600,6,498,384,256,0.058,11.70,301.00,0.68
0.592,6796,600,6,500,386,254,0.087,11.70,300.00,1.02
0.594,6797,600,6,501,386,255,0.102,11.72,303.00,1.20
0.596,6798,600,6,500,386,257,0.087,11.71,305.00,1.02
0.598,6799,600,6,499,385,256,0.087,11.71,304.00,1.02
0.600,6800,600,6,499,384,257,0.073,11.70,305.00,0.85
0.602,6801,600,7,498,386,257,0.087,11.71,305.00,1.02
0.604,6802,600,7,499,384,256,0.073,11.70,302.00,0.85
0.606,6803,600,7,498,384,256,0.058,11.70,302.00,0.68
0.608,6804,600,7,499,386,256,0.102,11.73,302.00,1.20
0.610,6805,600,7,498,385,256,0.102,11.72,303.00,1.20
0.612,6806,600,7,500,385,255,0.058,11.70,300.00,0.68
0.614,6807,600,7,498,384,254,0.102,11.72,302.00,1.20
0.616,6808,600,7,500,387,257,0.102,11.73,305.00,1.20
0.618,6809,600,7,499,385,257,0.073,11.71,306.00,0.85
0.620,6810,600,7,498,384,256,0.058,11.69,303.00,0.68
0.622,6811,600,7,498,384,257,0.102,11.70,305.00,1.19
0.624,6812,600,7,499,385,256,0.117,11.72,302.00,1.37
0.626,6813,600,7,500,386,255,0.102,11.72,302.00,1.20
0.628,6814,600,7,500,386,257,0.073,11.71,304.00,0.85
0.630,6815,600,7,500,386,256,0.043,11.70,302.00,0.50
0.632,6816,600,7,498,385,254,0.073,11.72,302.00,0.86
0.634,6817,600,7,499,384,257,0.087,11.72,305.00,1.02
0.636,6818,600,7,500,385,257,0.117,11.71,305.00,1.37
0.638,6819,600,7,499,385,257,0.073,11.71,305.00,0.85
0.640,6820,600,7,499,385,256,0.058,11.70,301.00,0.68
0.642,6821,600,7,499,384,256,0.073,11.70,301.00,0.85
0.644,6822,600,7,500,385,256,0.073,11.70,300.00,0.85
0.646,6823,600,7,500,385,256,0.102,11.72,303.00,1.20
0.648,6824,600,7,500,386,255,0.087,11.73,304.00,1.02
0.650,6825,600,7,499,386,256,0.043,11.69,300.00,0.50
0.652,6826,600,7,498,385,255,0.073,11.70,303.00,0.85
0.654,6827,600,7,499,386,256,0.087,11.73,304.00,1.02
0.656,6828,600,7,500,386,257,0.087,11.70,303.00,1.02
0.658,6829,600,7,499,384,256,0.073,11.71,301.00,0.85
0.660,6830,600,7,498,385,257,0.073,11.70,303.00,0.85
0.662,6831,600,7,500,385,256,0.102,11.72,303.00,1.20
0.664,6832,600,7,499,386,256,0.087,11.73,303.00,1.02
0.666,6833,600,7,500,385,257,0.102,11.71,304.00,1.19
0.668,6834,600,7,501,386,256,0.073,11.70,302.00,0.85
0.670,6835,600,7,498,384,255,0.058,11.71,303.00,0.68
0.672,6836,600,7,498,386,256,0.102,11.70,303.00,1.19
0.674,6837,600,7,499,386,257,0.073,11.71,304.00,0.85
0.676,6838,600,7,500,386,256,0.102,11.71,300.00,1.19
0.678,6839,600,7,498,383,256,0.043,11.70,302.00,0.50
0.680,6840,600,7,500,385,255,0.073,11.71,302.00,0.85
0.682,6841,600,7,498,385,256,0.058,11.70,302.00,0.68
0.684,6842,600,7,499,386,256,0.102,11.72,304.00,1.20
0.686,6843,1800,7,500,385,257,0.073,11.70,304.00,0.85
0.688,6844,1800,8,497,385,256,0.058,11.70,303.00,0.68
0.690,6845,1800,8,498,385,256,0.087,11.72,305.00,1.02
0.692,6846,1800,8,499,384,257,0.073,11.71,303.00,0.85
0.694,6847,1800,8,499,385,257,0.073,11.70,303.00,0.85
0.696,6848,1800,8,499,385,256,0.117,11.72,303.00,1.37
0.698,6849,1800,8,500,385,256,0.087,11.71,304.00,1.02
0.700,6850,1800,8,498,384,256,0.117,11.73,304.00,1.37
0.702,6851,1800,8,499,386,255,0.087,11.72,304.00,1.02
0.704,6852,1800,8,498,385,255,0.087,11.70,302.00,1.02
0.706,6853,1800,8,500,386,255,0.087,11.72,303.00,1.02
0.708,6854,1800,8,499,386,256,0.102,11.71,303.00,1.19
0.710,6855,1800,8,497,383,257,0.058,11.70,305.00,0.68
0.712,6856,1800,8,500,386,256,0.102,11.73,303.00,1.20
0.714,6857,1800,8,499,385,257,0.087,11.71,304.00,1.02
0.716,6858,1800,8,498,385,257,0.043,11.70,303.00,0.50
0.718,6859,1800,8,499,385,255,0.117,11.73,302.00,1.37
0.720,6860,1800,8,499,384,258,0.058,11.70,306.00,0.68
0.722,6861,1800,8,499,384,256,0.073,11.71,303.00,0.85
0.724,6862,1800,8,499,386,256,0.087,11.73,303.00,1.02
0.726,6863,1800,8,499,384,256,0.073,11.70,300.00,0.85
0.728,6864,1800,8,498,384,254,0.073,11.71,302.00,0.85
0.730,6865,1800,8,497,385,256,0.102,11.73,304.00,1.20
0.732,6866,1800,8,500,386,257,0.087,11.72,305.00,1.02
0.734,6867,1800,8,500,386,256,0.087,11.71,304.00,1.02
0.736,6868,1800,8,498,384,256,0.058,11.69,302.00,0.68
0.738,6869,1800,8,499,384,255,0.102,11.73,303.00,1.20
0.740,6870,1800,8,499,385,257,0.073,11.71,302.00,0.85
0.742,6871,1800,8,498,383,255,0.073,11.70,301.00,0.85
0.744,6872,1800,8,500,386,257,0.087,11.72,301.00,1.02
0.746,6873,1800,8,498,385,256,0.058,11.70,301.00,0.68
0.748,6874,1800,8,498,385,254,0.087,11.71,302.00,1.02
0.750,6875,1800,8,499,384,255,0.117,11.73,303.00,1.37
0.752,6876,1800,8,500,384,257,0.043,11.70,305.00,0.50
0.754,6877,1800,8,498,384,256,0.073,11.69,302.00,0.85
0.756,6878,1800,8,499,385,256,0.102,11.72,303.00,1.20
0.758,6879,1800,8,499,385,257,0.087,11.70,305.00,1.02
0.760,6880,1800,8,498,384,255,0.087,11.71,300.00,1.02
0.762,6881,1800,8,501,386,257,0.102,11.72,303.00,1.20
0.764,6882,1800,8,499,385,256,0.058,11.70,302.00,0.68
0.766,6883,1800,8,498,385,255,0.073,11.71,302.00,0.85
0.768,6884,1800,8,499,385,256,0.073,11.72,303.00,0.86
0.770,6885,1800,8,500,385,257,0.073,11.71,305.00,0.85
0.772,6886,1800,8,498,384,255,0.073,11.70,301.00,0.85
0.774,6887,1800,9,499,384,257,0.102,11.72,303.00,1.20
0.776,6888,1800,9,500,385,257,0.073,11.72,304.00,0.86
0.778,6889,1800,9,499,385,254,0.087,11.72,301.00,1.02
0.780,6890,1800,9,499,385,257,0.087,11.71,305.00,1.02
0.782,6891,1800,9,498,383,255,0.073,11.70,302.00,0.85
0.784,6892,1800,9,498,384,255,0.058,11.70,303.00,0.68
0.786,6893,900,9,500,386,256,0.087,11.72,305.00,1.02
0.788,6894,900,9,500,385,257,0.087,11.71,303.00,1.02
0.790,6895,900,9,498,385,257,0.058,11.70,304.00,0.68
0.792,6896,900,9,499,385,255,0.073,11.70,301.00,0.85
0.794,6897,900,9,499,385,256,0.058,11.70,302.00,0.68
0.796,6898,900,9,498,384,256,0.043,11.70,302.00,0.50
0.798,6899,900,9,499,386,256,0.102,11.73,303.00,1.20
0.800,6900,900,9,499,385,256,0.058,11.71,305.00,0.68
0.802,6901,900,9,498,384,257,0.058,11.70,304.00,0.68
0.804,6902,900,9,497,384,256,0.058,11.70,303.00,0.68
0.806,6903,900,9,499,386,256,0.102,11.72,303.00,1.20
0.808,6904,900,9,500,385,257,0.087,11.72,303.00,1.02
0.810,6905,900,9,498,384,255,0.073,11.70,299.00,0.85
0.812,6906,900,9,498,383,257,0.058,11.70,305.00,0.68
0.814,6907,900,9,499,385,257,0.102,11.72,303.00,1.20
0.816,6908,900,9,499,384,256,0.087,11.72,304.00,1.02
0.818,6909,900,9,499,386,258,0.073,11.70,304.00,0.85
0.820,6910,900,9,498,384,256,0.043,11.70,302.00,0.50
0.822,6911,900,9,497,385,255,0.073,11.70,301.00,0.85
0.824,6912,900,9,500,386,257,0.087,11.73,303.00,1.02
